Gene.Model.ID	Gene.Symbol	Full.Name	Source	Chromosome	Start	End
GRMZM2G137341	ereb16	AP2-EREBP-transcription factor 16	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"195,885,970"	"195,887,098"
GRMZM2G137358	bhlh17	bHLH-transcription factor 17	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"289,415,533"	"289,418,791"
GRMZM2G137366	met7	DNA methyl transferase7		Chr1	"2,930,055"	"2,935,014"
GRMZM2G137367	iaa1	Aux/IAA-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"6,550,506"	"6,561,486"
GRMZM2G137374	bhlh49	bHLH-transcription factor 49	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"6,562,587"	"6,564,261"
GRMZM2G137380	bhlh50	bHLH-transcription factor 50	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"6,567,359"	"6,573,560"
GRMZM2G137387	mads20	MADS-transcription factor 20	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"217,863,477"	"217,870,145"
GRMZM2G137409	hds1	hydroxymethylbutenyl diphosphate synthase1	"GBWI-67591 (MaizeCyc), GRMZM2G137409"	Chr5	"182,174,564"	"182,181,190"
GRMZM2G137413	arftf14	ARF-transcription factor 14	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"118,717,709"	"118,723,692"
GRMZM2G137502	dof36	C2C2-Dof-transcription factor 36	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"72,625,013"	"72,627,421"
GRMZM2G137510	mads34	MADS-transcription factor 34	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"17,785,901"	"17,791,457"
GRMZM2G137532	bzip82	bZIP-transcription factor 82	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"189,016,699"	"189,017,193"
GRMZM2G137541	bhlh151	bHLH-transcription factor 151	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"189,054,253"	"189,057,549"
GRMZM2G137546	zar3	Zea mays ARGOS homolog3	from Guo et al 2014	Chr2	"220,671,352"	"220,673,700"
GRMZM2G137582	ebf1	EIN3-binding F-box protein1		Chr6	"102,392,990"	"102,395,999"
GRMZM2G137676	ami2	amidase2	one of 2 gene models that align to protein accession ACR34426 (MLS June 2012)	Chr7	"120,006,864"	"120,009,317"
GRMZM2G137694	umc1447			Chr5	"33,802,760"	"33,806,761"
GRMZM2G137715	hagtf40	GNAT-transcription factor 40	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"51,010,484"	"51,019,069"
GRMZM2G137751	cbl12	calcineurin B-like12	"Zhang et al., 2016"	Chr2	"30,021,407"	"30,023,024"
GRMZM2G137802	wrky68	WRKY-transcription factor 68	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"135,574,148"	"135,576,504"
GRMZM2G137839	apx3	ascorbate peroxidase homolog3	from B73_v2 alignment to EU973991	Chr1	"43,682,818"	"43,686,019"
GRMZM2G137869	ofp37	OVATE-transcription factor 37	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"125,223,241"	"125,224,349"
GRMZM2G137930	pza02948			Chr6	"35,680,636"	"35,684,873"
GRMZM2G137954	sweet4c	sugars will eventually be exported transporter4c	"Sosso et al., 2015"	Chr5	"127,500,983"	"127,504,476"
GRMZM2G137959	meg15	maternally expressed gene15	"Xiong et al., 2014"	Chr7	"12,591,109"	"12,591,978"
GRMZM2G137961	hagtf17	GNAT-transcription factor 17	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"224,625,939"	"224,628,844"
GRMZM2G137965	rbap2	WD-repeat protein RBAP2	best match to nfc101 sequence AY10048	Chr3	"204,143,323"	"204,150,370"
GRMZM2G138008	cyp17	cytochrome P-450 17	"Suzuki et al., 2015"	Chr7	"164,026,278"	"164,028,417"
GRMZM2G138060	su1	sugary1	Classical Gene	Chr4	"41,396,390"	"41,405,179"
GRMZM2G138060	su1	sugary1		Chr4	"41,396,390"	"41,405,179"
GRMZM2G138074	GRMZM2G138074			Chr3	"187,768,902"	"187,771,862"
GRMZM2G138097	umc2262			Chr3	"39,741,906"	"39,749,945"
GRMZM2G138152	rboh2	respiratory burst oxidase2	covers a gap in B73_v2 assembly	Chr3	"200,364,162"	"200,384,941"
GRMZM2G138248	cyp9	cytochrome P450 9	"Irmisch et al., 2015"	Chr9	"79,214,248"	"79,216,270"
GRMZM2G138258	AY112215			Chr3	"147,436,574"	"147,440,207"
GRMZM2G138268	iaa10	Aux/IAA-transcription factor 10	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"117,785,060"	"117,789,665"
GRMZM2G138340	bzip29	bZIP-transcription factor 29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"291,173,937"	"291,177,741"
GRMZM2G138396	ereb211	AP2-EREBP-transcription factor 211	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"186,957,472"	"186,958,546"
GRMZM2G138421	sbp6	SBP-transcription factor 6	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"1,846,096"	"1,853,085"
GRMZM2G138427	myb17	MYB-transcription factor 17	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"216,738,472"	"216,740,213"
GRMZM2G138455	dof40	C2C2-Dof-transcription factor 40	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"242,766,583"	"242,768,989"
GRMZM2G138468	amya3	alpha amylase3	Classical Gene	Chr2	"186,911,744"	"186,913,606"
GRMZM2G138527	umc2299			Chr5	"87,452,469"	"87,457,038"
GRMZM2G138659	umc1380			Chr10	"2,252,057"	"2,259,197"
GRMZM2G138683	wrky11	WRKY-transcription factor 11	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"158,888,697"	"158,893,034"
GRMZM2G138689	gz50	50kD gamma zein	from: AF371263	Chr7	"120,206,897"	"120,208,211"
GRMZM2G138727	zp27	27-kDa zein protein	Classical Gene	Chr7	"120,233,940"	"120,236,057"
GRMZM2G138814	snrk1a3	SNF1-related kinase alpha1-like3		Chr1	"52,072,966"	"52,083,007"
GRMZM2G138861	snrkII8	SnRK2 serine threonine protein kinase8	from aligmnent to sequence EU676040	Chr1	"280,356,771"	"280,364,881"
GRMZM2G138886	cyc8	cyclin8	"from: Sabelli et al., 2014"	Chr2	"18,100,584"	"18,104,322"
GRMZM2G138936	bnl7.65			Chr4	"184,091,589"	"184,094,554"
GRMZM2G138967	gata17	C2C2-GATA-transcription factor 17	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"155,999,788"	"156,001,252"
GRMZM2G138976	arid4	ARID-transcription factor 4	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"120,237,787"	"120,284,629"
GRMZM2G139024	e2f18	E2F-DP-transcription factor 218	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"32,444,644"	"32,482,308"
GRMZM2G139031	ogg1	8-oxoguanine DNA glycolyase1		Chr5	"172,334,155"	"172,337,856"
GRMZM2G139041	AY110160			Chr1	"295,097,497"	"295,100,438"
GRMZM2G139073	si1	silky1	Classical Gene	Chr6	"84,949,624"	"84,954,298"
GRMZM2G139082	hscf1	heat shock complementing factor1		Chr9	"107,641,598"	"107,645,415"
GRMZM2G139123	raf2	rubisco accumulation factor2	"Feiz et al., 2014"	Chr1	"295,100,635"	"295,101,482"
GRMZM2G139160	mrpi1	MRP interacting1	from: FM252125	Chr8	"171,358,270"	"171,363,973"
GRMZM2G139174	mybr57	MYB-related-transcription factor 57	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"166,438,508"	"166,439,034"
GRMZM2G139284	myb70	MYB-transcription factor 70	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"213,409,017"	"213,410,688"
GRMZM2G139300	incw1	cell wall invertase1	Classical Gene	Chr5	"169,497,597"	"169,502,089"
GRMZM2G139372	bhlh51	bHLH-transcription factor 51	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"238,494,709"	"238,498,244"
GRMZM2G139467	cyp20	cytochrome P-450 20	"Richter et al., 2016"	Chr2	"234,927,959"	"234,929,946"
GRMZM2G139535	hsftf21	HSF-transcription factor 21	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"125,896,425"	"125,900,126"
GRMZM2G139639	pht11	phosphate transporter protein11		Chr7	"34,937,541"	"34,939,375"
GRMZM2G139688	myb138	MYB-transcription factor 138	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"187,060,539"	"187,064,561"
GRMZM2G139688	pza03191			Chr3	"187,060,539"	"187,064,561"
GRMZM2G139700	nactf84	NAC-transcription factor 84	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"137,606,842"	"137,608,651"
GRMZM2G139710	sdg113	set domain gene113		Chr3	"187,087,134"	"187,091,766"
GRMZM2G139740	ereb32	AP2-EREBP-transcription factor 32	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"119,105,133"	"119,105,723"
GRMZM2G139760	mybr61	MYB-related-transcription factor 61	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"208,030,163"	"208,035,544"
GRMZM2G139765	ereb76	AP2-EREBP-transcription factor 76	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"188,716,605"	"188,718,676"
GRMZM2G139786	gl6	glossy6	"Li et al., 2018"	Chr3	"127,533,189"	"127,534,038"
GRMZM2G139797	IDP1639		"Jia et al., 2016"	Chr10	"130,166,275"	"130,168,203"
GRMZM2G139813	tat1	tyrosine aminotransferase homolog1		Chr2	"225,968,332"	"225,976,565"
GRMZM2G139815	wrky37	WRKY-transcription factor 37	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"92,417,479"	"92,419,510"
GRMZM2G139822	mgt9	magnesium transporter9	"Li et al., 2016"	Chr3	"164,927,197"	"164,941,379"
GRMZM2G139846	nbr1b	next to brca1b		Chr2	"38,472,943"	"38,483,627"
GRMZM2G139894	mcm7	minichromosome maintenance7		Chr4	"18,610,095"	"18,616,542"
GRMZM2G139963	hb102	Homeobox-transcription factor 102	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"14,957,965"	"14,960,921"
GRMZM2G140016	yy1	yin-yang1	Classical Gene	Chr4	"115,453,280"	"115,456,159"
GRMZM2G140078	trpp2	trehalose-6-phosphate phosphatase2	"Zhou et al., 2013"	Chr2	"177,921,904"	"177,924,464"
GRMZM2G140083	wox3b	WUSCHEL-related homeobox 3b	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"131,860,635"	"131,861,792"
GRMZM2G140085	gras24	GRAS-transcription factor 24	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"187,217,605"	"187,218,942"
GRMZM2G140094	gras13	GRAS-transcription factor 13	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"187,219,736"	"187,222,248"
GRMZM2G140101	phys1	phytase1	from: U75531	Chr3	"131,730,020"	"131,731,520"
GRMZM2G140107	sps2	sucrose phosphate synthase2	from:  T26951 (chr 3 hit)	Chr3	"161,295,516"	"161,301,138"
GRMZM2G140156	arid2	ARID-transcription factor 2	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"184,041,779"	"184,053,401"
GRMZM2G140288	prh2	protein phosphatase homolog2	From homology to genbank sequence BT068007	Chr7	"167,183,707"	"167,192,292"
GRMZM2G140302	esr3	embryo surrounding region3	from: X99970	Chr1	"14,300,150"	"14,300,705"
GRMZM2G140355	bzip80	bZIP-transcription factor 80	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"85,130,086"	"85,132,905"
GRMZM2G140524	jmj9	JUMONJI-transcription factor 9	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"172,338,861"	"172,347,926"
GRMZM2G140527	lac10	laccase10	"Rius et al., 2016"	Chr4	"4,216,683"	"4,219,243"
GRMZM2G140545	AY105971			Chr4	"197,081,353"	"197,082,741"
GRMZM2G140577	sdg105	set domain gene105		Chr8	"119,356,309"	"119,359,897"
GRMZM2G140590	AW231791			Chr8	"114,541,249"	"114,555,400"
GRMZM2G140633	asc1	asceapen1	from B73_V2 alignment to AW076338	Chr7	"127,925,177"	"127,927,750"
GRMZM2G140667	apx2	ascorbate peroxidase2	from: Z34934	Chr2	"219,258,176"	"219,261,097"
GRMZM2G140669	gata3	C2C2-GATA-transcription factor 3	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"190,024,321"	"190,026,323"
GRMZM2G140694	dof29	C2C2-Dof-transcription factor 29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"201,437,666"	"201,441,763"
GRMZM2G140737	vpsh26	vacuolar protein sorting homolog26		Chr10	"17,837,806"	"17,842,618"
GRMZM2G140811	pld11	phospholipase D11	"Chen et al., 2016"	Chr7	"175,225,393"	"175,232,833"
GRMZM2G140901	nactf51	NAC-transcription factor 51	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"172,222,465"	"172,224,718"
GRMZM2G141009	uck1	UMP/CMP kinase1		Chr6	"57,559,271"	"57,563,575"
GRMZM2G141034	mstr2	monosaccharide transporter2	from: AY683005	Chr4	"29,873,533"	"29,875,971"
GRMZM2G141071	propep5	precursor elicitor peptide5	B73_v2 gene model provided by A Huffaker 5/2013	Chr10	"72,636,057"	"72,636,866"
GRMZM2G141081	tom3	transporter of mugineic acid3	"Nozoye et al, 2015"	Chr2	"149,197,052"	"149,201,004"
GRMZM2G141133	propep4	precursor elicitor peptide4	B73_v2 gene model provided by A Huffaker 5/2013	Chr10	"72,626,088"	"72,626,699"
GRMZM2G141150	csd3	CSD-transcription factor 3	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"72,594,595"	"72,596,618"
GRMZM2G141205	iaa29	Aux/IAA-transcription factor 29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"146,698,068"	"146,698,763"
GRMZM2G141219	ereb143	AP2-EREBP-transcription factor 143	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"117,877,954"	"117,881,926"
GRMZM2G141299	wrky103	WRKY-transcription factor 103	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"198,284,414"	"198,286,315"
GRMZM2G141383	yuc4	Yucca4	"From: Suzuki et al., 2016"	Chr2	"111,172,433"	"111,174,381"
GRMZM2G141399	du1	dull endosperm1	Classical Gene	Chr10	"59,516,234"	"59,527,812"
GRMZM2G141399	du1	dull endosperm1	from alignment to seqence JF273457	Chr10	"59,516,234"	"59,527,812"
GRMZM2G141473	ao4	aldehyde oxidase4	"Owens et al., 2014"	Chr1	"286,577,038"	"286,584,000"
GRMZM2G141535	ao1	aldehyde oxidase1	aligns to mRNA sequence accession D88451 (MLS May 2012)	Chr1	"286,519,501"	"286,527,285"
GRMZM2G141638	ereb53	AP2-EREBP-transcription factor 53	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"166,836,222"	"166,840,043"
GRMZM2G141679	ereb109	AP2-EREBP-transcription factor 109	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"100,267,099"	"100,269,276"
GRMZM2G141704	cap2	calcium pump2		Chr1	"42,849,862"	"42,855,504"
GRMZM2G141756	pebp7	phosphatidylethanolamine-binding protein7	Classical Gene	Chr6	"159,399,177"	"159,400,713"
GRMZM2G141760	pza02478			Chr6	"141,098,824"	"141,107,819"
GRMZM2G141792	ros1	repressor of silencing1		Chr6	"149,985,798"	"149,987,151"
GRMZM2G141799	AY110052			Chr1	"39,217,739"	"39,224,044"
GRMZM2G141810	tar3	tryptophan aminotransferase related3	from Bernardi et al 2012	Chr6	"129,844,054"	"129,847,591"
GRMZM2G141818	ago104	argonaute104		Chr6	"168,642,369"	"168,650,358"
GRMZM2G141848	aprl6	adenosine 5'-phosphosulfate reductase6	from: Entrez Gene 606422	Chr10	"24,452,184"	"24,457,178"
GRMZM2G141955	yab11	C2C2-YABBY-transcription factor 11	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"175,665,423"	"175,671,657"
GRMZM2G142072	pza00285			Chr9	"8,949,490"	"8,962,539"
GRMZM2G142150	mterf25	mTERF-domain protein16	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"145,340,020"	"145,344,782"
GRMZM2G142179	ereb50	AP2-EREBP-transcription factor 50	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"2,629,088"	"2,630,607"
GRMZM2G142344	cl42326_1			Chr4	"191,944,776"	"191,948,747"
GRMZM2G142705	gar3	gibberellin responsive3	from: AB018589	Chr8	"138,985,268"	"138,986,891"
GRMZM2G142718	dof41	C2C2-Dof-transcription factor 41	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"147,844,469"	"147,845,926"
GRMZM2G142740	cfm4	"cp RNA splicing factor, CRM domain containing protein4"		Chr7	"98,272,614"	"98,278,027"
GRMZM2G142751	tcptf10	TCP-transcription factor 10	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"112,768,227"	"112,770,230"
GRMZM2G142768	iaa18	Aux/IAA-transcription factor 18	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"171,402,585"	"171,405,007"
GRMZM2G142832	bnl10.13a			Chr10	"137,853,898"	"137,858,727"
GRMZM2G142832	umc1045			Chr10	"137,853,898"	"137,858,727"
GRMZM2G142870	mrpa6	multidrug resistance associated protein6	from: EU950350	Chr8	"45,267,687"	"45,282,726"
GRMZM2G142873	o5	opaque endosperm5	from alignment of fl cDNA BT042676 (Myers et al 2011)	Chr7	"117,734,381"	"117,741,648"
GRMZM2G142891	salt1	SalT homolog1		Chr10	"8,609,826"	"8,611,615"
GRMZM2G142898	cesa12	cellulose synthase 12	from: AY372246	Chr7	"117,546,197"	"117,550,877"
GRMZM2G142932	bhlh80	bHLH-transcription factor 80	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"205,425,915"	"205,430,161"
GRMZM2G142962	hb129	Homeobox-transcription factor 129	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"198,225,939"	"198,227,907"
GRMZM2G142964	jmj1	JUMONJI-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"60,821,906"	"60,898,916"
GRMZM2G142999	abi38	ABI3-VP1-transcription factor 38	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"125,822,461"	"125,823,598"
GRMZM2G143008	als2	acetolactate synthase2		Chr5	"164,024,379"	"164,026,683"
GRMZM2G143046	myb100	MYB-transcription factor 100		Chr1	"148,636,099"	"148,638,077"
GRMZM2G143202	cyp14	cytochrome P450 14	From homology to Genbank sequence.	Chr1	"86,848,122"	"86,858,514"
GRMZM2G143204	wrky30	WRKY-transcription factor 30	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"278,228,862"	"278,232,499"
GRMZM2G143205	camta1	CAMTA-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"70,964,747"	"70,973,190"
GRMZM2G143211	atg18d	autophagy18d		Chr8	"16,744,023"	"16,748,694"
GRMZM2G143235	umc1886			Chr3	"5,581,450"	"5,587,971"
GRMZM2G143274	myb76	MYB-transcription factor 76	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"16,772,384"	"16,773,583"
GRMZM2G143328	myb53	MYB-transcription factor 53	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"215,930,994"	"215,932,039"
GRMZM2G143328	pza03146			Chr3	"215,930,994"	"215,932,039"
GRMZM2G143352	iaa44	Aux/IAA-transcription factor 44	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"145,384,711"	"145,385,639"
GRMZM2G143354	cop1	coatomer protein1		Chr3	"137,371,268"	"137,378,912"
GRMZM2G143357	als1	acetolactate synthase1		Chr4	"96,832,612"	"96,834,891"
GRMZM2G143392	sig2A	sigma factor sig2A	from: AF099110	Chr4	"17,349,492"	"17,354,543"
GRMZM2G143402	zim34	ZIM-transcription factor 34	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"145,369,299"	"145,373,351"
GRMZM2G143433	gras17	GRAS-transcription factor 17	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"120,520,869"	"120,522,119"
GRMZM2G143445	atg11a	autophagy11a		Chr4	"235,491,209"	"235,496,287"
GRMZM2G143450	mmp110			Chr9	"146,922,931"	"146,931,473"
GRMZM2G143499	umc2203			Chr10	"145,327,221"	"145,330,634"
GRMZM2G143590	zyp1	synaptonemal complex protein ZIPPER1	"Zhang et al., 2014"	Chr10	"121,738,153"	"121,749,667"
GRMZM2G143602	cka1	CK2 protein kinase alpha 1	Classical Gene	Chr2	"236,711,216"	"236,716,685"
GRMZM2G143625	sacd3	stearoyl-acyl-carrier-protein desaturase3		Chr1	"107,371,746"	"107,373,355"
GRMZM2G143640	mybr55	MYB-related-transcription factor 55	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"166,202,168"	"166,203,590"
GRMZM2G143703	bnlg2295			Chr1	"80,173,133"	"80,176,373"
GRMZM2G143718	dbb10	double B-box zinc finger protein10	"Li et al., 2017"	Chr7	"142,719,045"	"142,722,858"
GRMZM2G143725	IDP2556			Chr10	"99,117,687"	"99,128,736"
GRMZM2G143765	wrky62	WRKY-transcription factor 62	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"22,907,413"	"22,912,048"
GRMZM2G143782	mab23	math-btb23	Juranic et al. 2012	Chr6	"93,484,977"	"93,486,919"
GRMZM2G143817	der3	derlin3	from: AY854014	Chr6	"130,081,997"	"130,086,777"
GRMZM2G143955	pzb00752			Chr7	"136,898,993"	"136,902,620"
GRMZM2G144002	agpll2	ADP glucose pyrophosphorylase large subunit leaf2	Huang et al. 2014	Chr7	"23,769,242"	"23,780,203"
GRMZM2G144008	ras11B2	ras-related protein11B2		Chr5	"2,259,767"	"2,263,658"
GRMZM2G144030	tif5A	eukaryotic translation initiation factor 5A	Classical Gene	Chr7	"163,041,712"	"163,045,353"
GRMZM2G144081	bt1	brittle endosperm1	Classical Gene	Chr5	"112,964,229"	"112,966,353"
GRMZM2G144109	umc1325			Chr5	"2,315,287"	"2,319,068"
GRMZM2G144155	erd3	early responsive to dehydration3		Chr1	"107,193,082"	"107,196,179"
GRMZM2G144166	tel2	telomere maintenance2		Chr5	"181,264,982"	"181,272,627"
GRMZM2G144172	dof33	C2C2-Dof-transcription factor 33	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"2,336,487"	"2,338,861"
GRMZM2G144180	umc1049			Chr2	"205,044,744"	"205,047,778"
GRMZM2G144188	dof31	C2C2-Dof-transcription factor 31	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"2,344,044"	"2,345,532"
GRMZM2G144196	sig6	sigma-like factor6	from: Entrez Gene 542484	Chr5	"647,402"	"650,238"
GRMZM2G144273	crti3	carotene isomerase3	"Owens et al., 2014"	Chr5	"1,333,687"	"1,341,860"
GRMZM2G144275	bhlh136	bHLH-transcription factor 136	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"137,522,634"	"137,525,144"
GRMZM2G144346	col2	C2C2-CO-like-transcription factor 2	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"267,460,450"	"267,462,897"
GRMZM2G144398	hmg5	HMG-transcription factor 5	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"142,353,620"	"142,359,570"
GRMZM2G144480	bzip16	bZIP-transcription factor 16	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"197,332,482"	"197,333,254"
GRMZM2G144581	sweet4b	sugars will eventually be exported transporter4b	"Sosso et al., 2015"	Chr5	"127,638,855"	"127,642,404"
GRMZM2G144610	endo1	endosperm specific protein1		Chr9	"37,552,323"	"37,553,942"
GRMZM2G144653	trh2	thioredoxin h homolog2	from: AJ890021	Chr7	"13,181,810"	"13,184,354"
GRMZM2G144730	pyk3	pyruvate kinase3	Pouvreau et al 2011	Chr9	"113,493,606"	"113,499,029"
GRMZM2G144744	d8	dwarf plant8	Classical Gene	Chr1	"266,160,101"	"266,163,168"
GRMZM2G144744	d8	dwarf plant8		Chr1	"266,160,101"	"266,163,168"
GRMZM2G144821	mha1	membrane H(+)-ATPase1	from: U09989	Chr2	"233,155,669"	"233,160,713"
GRMZM2G145029	ippi2	isopentenyl pyrophosphate isomerase2	From homology to Genbank sequence.	Chr8	"104,182,030"	"104,186,085"
GRMZM2G145041	mybr96	MYB-related-transcription factor 96	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"64,145,458"	"64,148,638"
GRMZM2G145041	pzb00232			Chr5	"64,145,458"	"64,148,638"
GRMZM2G145069	gst34	glutathione transferase34		Chr1	"81,325,327"	"81,326,926"
GRMZM2G145088	umc1870			Chr5	"64,135,849"	"64,145,035"
GRMZM2G145101	cah5	carbonic anhydrase5	from Studer et al 2014	Chr7	"127,621,256"	"127,626,940"
GRMZM2G145104	GRMZM2G145104		"Xu et al., 2017"	Chr9	"97,000,557"	"97,006,689"
GRMZM2G145107	sut4	sucrose transporter4	from AY581895	Chr5	"216,637,674"	"216,642,140"
GRMZM2G145146	bhlh107	bHLH-transcription factor 107	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"127,620,549"	"127,621,728"
GRMZM2G145152	GRMZM2G145152			Chr7	"127,613,281"	"127,615,125"
GRMZM2G145201	rdr6	RNA-dependent RNA polymerase6	"Petsch et al., 2015"	Chr3	"102,532,883"	"102,536,036"
GRMZM2G145407	zim33	ZIM-transcription factor 33	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"65,326,353"	"65,328,811"
GRMZM2G145412	zim18	ZIM-transcription factor 18	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"244,885,427"	"244,886,628"
GRMZM2G145444	myb50	MYB-transcription factor 50	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"98,692,287"	"98,694,146"
GRMZM2G145458	zim3	ZIM-transcription factor 3	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"244,892,947"	"244,893,692"
GRMZM2G145461	chn2	chitinase2	Classical Gene	Chr6	"83,025,839"	"83,027,065"
GRMZM2G145466	meg14	maternally expressed gene14	"Xiong et al., 2014"	Chr7	"13,178,054"	"13,178,841"
GRMZM2G145518	GRMZM2G145518			Chr6	"82,976,807"	"82,978,585"
GRMZM2G145554	wrky28	WRKY-transcription factor 28	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"145,062,095"	"145,064,464"
GRMZM2G145568	lbd41	LBD-transcription factor 41	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"138,557,713"	"138,558,785"
GRMZM2G145579	bhlh165	bHLH-transcription factor 165	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"47,618,440"	"47,620,839"
GRMZM2G145594	bsdtf6	BSD-transcription factor 6	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"204,479,884"	"204,482,990"
GRMZM2G145651	mmc0401			Chr2	"145,617,176"	"145,619,917"
GRMZM2G145690	hb71	Homeobox-transcription factor 71	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"211,123,234"	"211,127,092"
GRMZM2G145715	pgd2	6-phosphogluconate dehydrogenase2	Classical Gene	Chr3	"153,964,271"	"153,968,156"
GRMZM2G145720	bak1	brassinosteroid insensitive1-associated receptor kinase like1	"Leiboff et al., 2015"	Chr9	"35,179,613"	"35,185,362"
GRMZM2G145725	AY109715			Chr4	"1,064,160"	"1,065,086"
GRMZM2G145753	umc2269			Chr3	"184,727,722"	"184,731,545"
